"Participant","uppercase.value","maps.to.sex.concept","updated.mapping","in.field","with.label.type","in.language","with.n..Occurrences...","notes","Before.Good","Total.Before","JLC.working"
"Jessica Tir","FEMELLE : OVAIRE NORMAL","FEMALE","female","sex, dynamicProperties","hidden","FR",1,"OVAIRE NORMAL","",0,"FEMALE"
"Lesley Kennes","FEMELLE : PLUMAGE DE TRANSITION","FEMALE","female","sex","hidden","CA",1,"PLUMAGE DE TRANSITION","",0,"FEMALE"
"Tonya Haff","FEMELLE : PROBABLEMENT","FEMALE","female","sex, dynamicProperties","hidden","FR",2,"PROBABLEMENT","",0,"FEMALE"
"Angela Hornsby","FEMELLE : SEXE À CONFIRMER.","FEMALE","female","sex","hidden","FR",1,"SEXE À CONFIRMER","",0,"FEMALE"
"Emily Braker","FEMELLE : SEXE INDIQUÉ SUR L'ÉTIQUETTE","FEMALE","female","sex, dynamicProperties","hidden","FR",1,"SEXE INDIQUÉ SUR L ÉTIQUETTE","",0,"FEMALE"
"John Bates","FEMELLE ?","FEMALE","indeterminate","sex, dynamicProperties","hidden","FR",166,NA,"",0,"FEMALE"
"Mike Andersen ","FEMELLE (?)","FEMALE","indeterminate","sex, dynamicProperties","hidden","FR",2,NA,"",0,"FEMALE"
"Andrew Engilis","FEMELLE, OVIDUCTE LÂCHE","FEMALE","female","sex, dynamicProperties","hidden","EN",1,"OVIDUCTE LÂCHE","",0,"FEMALE"
"Tamaki Yuri","FEMEMNINO","FEMALE","female","sex","hidden","ES",1,"FEMEMNINO","",0,"blank"
"Laura Abraczinskas","FEMENINA","FEMALE","female","sex","hidden","",117,"FEMENINA","",0,"blank"
"Lesley Kennes","FEMENINO","FEMALE","female","sex","alternate","ES",850,NA,"",0,"FEMALE"
"Brian Schmidt","FÊMES","FEMALE","female","sex","hidden","FR",1,"FÊMES","",0,"blank"
"Ildiko Szabo","FÍMEA","FEMALE","female","sex","hidden","PT",466,"FÍMEA","",0,"blank"
"Mike Andersen ","G","blank","not specified","","","",3,"G","",0,"blank"
"Stephen Rogers","GO","UNKNOWN","","sex","hidden","?",1,"GO","",0,"blank"
"Irene Engilis","GYNANDROMORPH","ATYPICAL","","sex","alternate","",9,"GYNANDROMORPH","",0,"blank"
"Jeremiah Trimble","GYNANDROMORPH;GYNANDROMORPH","ATYPICAL","","sex, dynamicProperties","hidden","EN",2,"GYNANDROMORPH GYNANDROMORPH","",0,"blank"
"Chris Milensky","H","FEMALE","female","sex","hidden","ES",1,"H","",0,"blank"
"Stephen Rogers","HANE","MALE","","sex","preferred","SV",1264,"HANE","",0,"blank"
"Jessica Tir","HANE, HONA","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","SV",1,"HANE  HONA","",0,"blank"
"Stephen Rogers","HATCHLING","blank","not specified","lifeStage","","EN",2,"HATCHLING","",0,"blank"
"Dianna M. Krejsa","HEMBRA","FEMALE","female","sex","preferred","ES",120673,NA,"",0,"FEMALE"
"Tom Trombone","HEMBRA Y MACHO","FEMALE | MALE","mixed","sex","hidden","ES",4,"Y","",0,"MIXED"
"Rachel Alsheikh","HERMAPHRODITE","ATYPICAL","","sex","alternate","EN",9,"HERMAPHRODITE","",0,"blank"
"Ildiko Szabo","HMEBRA","FEMALE","female","sex","hidden","ES",1,"HMEBRA","",0,"blank"
"Mike Andersen ","HONA","FEMALE","female","sex","hidden","SV",759,"HONA","",0,"blank"
"Emily Braker","HONA, ÅDA","FEMALE","female","sex, dynamicProperties","hidden","SW",1,"HONA  ÅDA","",0,"blank"
"John Bates","I","UNKNOWN","","sex","hidden","EN",1,"I","",0,"blank"
"Molly Hagemann","IMMATURE","blank","not specified","lifeStage","","EN",2,"IMMATURE","",0,"blank"
"Jean Woods","IMT","blank","not specified","lifeStage","","EN",1,"IMT","",0,"blank"
"Serina Brady","IN QUESTION","UNKNOWN","","sex","hidden","EN",8442,"IN QUESTION","",0,"blank"
